,username,date,comments
1223,pat,January 2005,"We've been around and around about this and as your host, I defined the vehicles that belong in this topic in this message: pat, ""Entry-Level Luxury Performance Sedans"" #1446, 19 Mar 2004 5:34 pm     The CTS-V is not one of them and it generally is more expensive and of a different class than the cars we are talking about. As I noted in that message I just linked, anyone is free to find or start another comparo if this one does not suit your purposes.     Note that there is only room for six vehicles in the categories you are seeing above; that's why they don't all appear there.     Things are getting a little too personal here - we can disagree with each other without getting ugly about it. Let's reel in the emotion a bit please."
1224,eaton53,January 2005,"""That's a FWD luxury sedan with stock engine, drivetrain and brakes - and it finished 3rd in a 25-hour endurance race against Porsche's, BMW's, and Cobra's.""     That's far different than passing all Federal standards. Sorry, your example doesn't pass muster.     ""Seriously, let's just leave the CTS-V out of this discussion, OK?""     From every criteria I see here, it's in... I provided the under $40K price link - in fact the last new '04 at my local lealer had a $42K sticker in the windshield, certainly not out of this subject's price range.     Can I help it if the others have too little performance for too much money?"
1225,pat,January 2005,">> From every criteria I see here, it's in     No it is not. I assume you were composing as I was posting.     Let's move on now, thank you."
1226,danny1878,January 2005,"Can I help it if the others have too little performance for too much money?     A 3.6L engine that can only produce a 255hp is too little performance? YES especially if the car cant go under 6 in 0-60     Too much money?  Try to equip all features that TL has, CTS 3.6's prices will shoot to the roof. That is why less people vote with their wallet on that car."
1227,lovemyclk,January 2005,"Hate to burst your bubble, but these ""tuner"" cars have nothing in common with their ""factory"" brethren other than body stampings and some interior bits. That a Mallet Caddy with 700+ HP finished 1st has absolutely no relevance to the TL, 3-Series or its own cousin, the CTS.     Please brush up on your automotive perspective. Kinda like comparing the Chevy Monte Carlo with its NASCAR 4th-cousin twice removed raced on Sunday's!!     Back to reality... the TL is certainly competitive to the G, 3-Series, CTS, etc... it just offers it's own distinct interpretation of the automotive experience to suit drivers that find those characteristics to be valuable. Good thing that variation exists to please ALL of us... competition also helps to improve the lot."
1228,cruller001,January 2005,"Sup Folks,     Just finished reading the Bmw write-up in the Wall St Journal today. And to me, it seems they have just placed what has been known for a while in the public domain. Issues like Styling, I-Drive, reliability and competition, namely G35 and CTS(price?)was discussed in this article. I guess bimmer fans, and passive fans like myself and of course detractors have always known this to be the case, (we've certainly debated those same issues in these forums quite a bit).      I certainly did not get the impression the article was mean to inflame. It pointed out Bmw sales were up world-wide. And in 2003 it made $3.5billion in profit, more than GM, Ford, Volkswagen, and Renault combined. However it's U.S market share had dropped due to these same issues and also changing demographics.     While I am passively in the market(I just paid off my 2000 Mazda Millennia S)If I decide to pull the trigger, M35sport, G35, TL and Jaguar would be my order of preference. As I pointed out earlier, while I am a passive fan, the price of the 3series and it's size simply don't do it for me.     By the by, did anyone see the Car and Driver marathon this weekend on Spike TV?"
1229,fedlawman,January 2005,Just got around to reading my January issue of Roundel.     Nice letter!
1230,kominsky,January 2005,I <LSD> was wondering <LSD> if that was him... LSD.  :-)
1231,riez,January 2005,"fedlawman & kominsky... Ya know what they say, everyone has a doppleganger somewhere in the world? Luckily mine appears capable of trenchant automotive commentary?"
1232,m4d_cow,January 2005,"do you guys by any chance know how much im supposed to pay for an 05 X5 3.0, black on beige, premium, auto, xenon, coldweather?        one more thing, is the pastel green interior available for USspec x5?     ive been checking the x5 forums but no answers so far..."
1233,billykrebs,January 2005,"Has anyone here purchased a 3.6 CTS lately? I am looking, and have been for quite some time now, the perfect midsize car. The CTS just entered the equation and it has my interest after reading the Road and Track comparison. I obviously am also looking at the G35 (too small for me I think), the TL (really like it and it is leading at this time, but the exterior bores me), and the S60 2.5t (nice car, good looks, but a bit small i think).     I don't want to pay the $38k or so that I configured it for and I know that there are deals out there on GM vehicles. I read somewhere that somebody got $7,500 or so in rebates & incentives.     Also, what do y'all think about that comparison of the TL and the CTS? I know the FWD vs. RWD will be the major factor for some, but if you can try to rule that out please do.     Thanks."
1234,kyfdx,January 2005,"If you disregard RWD/FWD, the Acura TL wins on all fronts..     Of course, that is just my opinion..lol     The big one.. resale.. If you think you will sell that car anytime within 5 years, you will be many thousands ahead with the Acura.."
1235,dhanley,January 2005,Have you driven the CTS and TL back to back?
1236,laurasdada,January 2005,"But that's just on the aesthetic level. Have you checked out the interior of a CTS? Does the C stand for Chevy Cavalier??? And the exterior, while differnt, is just plain overdone. IMHO, of course. I haven't driven the CTS, which is probably its saving grace, but even if it ""outdrives"" the TL (which I find to be very handome in and out), I could not look at, nor sit in, the CTS every day and be happy...     Drive 'em both, figure out your priorities and buy. Whichever you buy is the best car.     YMMV."
1237,gordonwd,January 2005,"I always say ""what part of your car do you see the most of?"" Well, it's the interior -- not the exterior styling, and that has always been very important to me. That's one reason why my last two cars have been a '98 A4 and a '04 325i: both look and feel very nice from the driver's seat.     That is also one thing that turned me off when I test-drove a Saab 9-3 before deciding on the 325. The instrument panel of the Saab was very complex-looking -- dozens of buttons -- and with the display for the radio and that other display up under the windshield, it definitely didn't do it for me. I really like the external styling, and the car drove & performed well, but I couldn't see myself enjoying the view from the business seat!"
1238,billykrebs,January 2005,"I have driven the TL, but not the CTS. Those really are the only 2 I can think of. The G is too small, 325 is too small, the A4 is too small, the 9-3 has gotten terrible reviews.     It appears that the CTS is just as big as the TL. I understand that the fit and finish is not as good in the CTS. I like the exterior styling of the CTS. One problem is that the Acura dealer is 60 miles away and the Cadillac dealer is 2 miles away. That is a big deal to me. I also am feeling pretty patriotic these days and am leaning to the CTS, a car i would of never looked at a year ago.     It really is tough. On paper the Acura wins and on the interior the Acura wins. I prefer the Caddy exterior to the TL exterior.     The Acura is cheaper on MSRP as well, but I am wondering if the street price of the CTS is probably much less than the MSRP. It has to be. So, a $38k CTS probably costs you $32k or so is what I am thinking. Does anyone here know?     I am looking to lease, not buy so that changes things a little bit."
1239,kyfdx,January 2005,"1) If you like the CTS exterior, that counts for something..     2) 2 miles vs. 60 miles to the dealer is another real benefit..     3) The lease deals on TLs right now are just standard rates.. no manufacturer support.. So, maybe not that great.     4) Not sure of the lease deals on the CTS, but something tells me, that the price difference will pretty much disappear if you are leasing.. Maybe, even lower on the CTS.     regards,  kyfdx"
1240,danf1,February 2005,The CTS runs on 87 octane.
1241,buddhabman,February 2005,"Dear Sylvia,  With Automobile magazine recently rating the Subaru Legacy GT as the best family sedan. Also Road & Track picking the Legacy GT over the Acura TSX, can there be some reconsideration of adding the Subaru Legacy GT to this discussion. The size is about equal to the TL or the G35. The performance of the Legacy GT is equal or better. Safety measures & crash tests findings are equal. Quality fit & finish & interior materials are equal IMHO; that is subjective I understand, but they are much better than the last generation. I think it warrants new consideration. The only thing missing is the NAV and the new 2006 will have that."
1242,lmacmil,February 2005,"Stability control is not available on the Legacy and I don't think the interior is quite equal to the other two. On balance, though, it's a good buy and a couple thou cheaper than the TL or G plus you get AWD."
1243,dhanley,February 2005,"Geez dude, just let it die. It's not entry level luxury. Been discussed a billion times. Why do you care?"
1244,pat,February 2005,"The Legacy GT is not considered to be an Entry-Level Luxury sedan which is why it is not included here.  You are welcome to fire up another comparo of any set of vehicles that we aren't already comparing and that you think is viable. Click on the ""Comparisons - Sedans vs. Sedans"" link at the top (and bottom) of the page to check out the comparos which are already underway. That's also where you would create a new discussion if that seems to be the best thing to do.  By the way, I'm the host, not Sylvia."
1245,shipo,February 2005,"""By the way, I'm the host, not Sylvia. ""  More like, ""The hostess with the mostess."" ;-)  Best Regards, Shipo"
1246,pat,February 2005,
1247,billherrmann,February 2005,"From January to November, 2004 I drove [and owned] a Acura TL. Without a doubt, it was the best car I've ever owned. It comes standard with everything. Transmission and Nav. are your only options. I have also owned BMW 330xi[""03], Lexus is300{01] Infinity, 3 Maximas, Buick Riviera, and a number of other quality cars in 50 years of driving. Last week I test drove a 3.6 CTS and was knocked out...what a car! Far more punch than the TL, with rwd, more torque, smaller turning radius.Powereful, nimble. and refined. Yesterday, 2-25-05. I took delivery of my new CTS from a dealer about 25 miles from ny home.I was grinning all the way home. Hopefully i'll still be grinning a year from now. We will see."
1248,aaargh,February 2005,"""From January to November, 2004 I drove [and owned] a Acura TL.""  Why did you own a TL for only 11 months?"
1249,djocks,February 2005,Any thoughts?
1250,blueguydotcom,February 2005,"After driving a Legacy GT Limited the other day, I'd expect around 18 mpg total and no more than 21 on the freeway. Why? The gearing is not very conducive to getting decent mileage. I was running near 4k rpm at only 75 mph. The car needs an actual freeway gear - something BMW and Acura do and thus they get high freeway mileage."
1251,blueguydotcom,February 2005,"On another note, drove the 2005 G35 manual sedan. Improvements to the interior are evident immediately. Wow, nice aluminum trim everywhere. Electronic tilt-telescope (if it were bmw I'd expect that would break after 2-3 years). Seats are wide, la-z-boy like. Shifter feels smoother and shorter than that 2003 manual I drove. Engine's got crazy power - pulls like a damn rocket sled. Car still feels lumbering and not very agile even with optional 18s. you sit far too high up so the feeling of speed is more apparent than in the bmw and it ends up making the car feel more like a souped up, decent handling buick with that big interior and so much metal everywhere. fun car for 32k or so. But still think I'd opt for a used bimmer before getting a G35. It still doesn't feel like a legit sport sedan. More a fast sporty sedan. And that engine, while powerful just is too rough when pushed. It sounds like it might break above 5k rpm. No redline on the tach but an annoying light starts to blink at 3500-4k telling me to shift. Dumb design and it makes it impossible to tell the car's real redline."
1252,billherrmann,March 2005,"It was only 10 months. I fully realize that I have a problem. Call it NCL. Some guys have a problem with gambling, some with booze, some with women. I have NCL[new car lust]. A Lexus dealer told me that there are plenty of people with similiar problems. Ex. buying a convertable in the spring and TRADING it in the fall for a sedan! I am nowhere near that point. Hope to keep CTS for 3 years. I have a wife who goes along."
1253,kyfdx,March 2005,It is called CCB.. chronic car buying.. We even have a forum for it here in Town Hall..
1254,designman,March 2005,"Would be interested to hear your take on the Legacy GT. I found it to have a sloppy suspension. Also, since you put &#147;used&#148; and &#147;redline&#148; into your vernacular, I have a prescription for you. Get a beater and a used sports car&#151;S2000, Boxster, 911&#151;proven therapy for the redline addicted. Don&#146;t forget, half of the sport sedan is &#147;sedan&#148;."
1255,blueguydotcom,March 2005,"(i)Would be interested to hear your take on the Legacy GT. I found it to have a sloppy suspension. Also, since you put &#147;used&#148; and &#147;redline&#148; into your vernacular, I have a prescription for you. Get a beater and a used sports car&#151;S2000, Boxster, 911&#151;proven therapy for the redline addicted. Don&#146;t forget, half of the sport sedan is &#147;sedan&#148;.(/i)  Here's my take on the 2005 Legacy GT. blueguydotcom, ""AWD MT Sedans - Subaru Legacy GT vs Others"" #35, 1 Mar 2005 12:02 pm  It got yanked yesterday because I used an acronym that is looked down upon here.  As for the S2000, intriguing but not really worth it as the performance from that engine is only marginally better than my 330i perf pack. And the car's not really useful/ Boxster - not to my liking in any way, shape or form - basically it's just heinous. 911's sweet but not my bag either. Too much like a middle aged man's Vette in my eyes. Pretty impractical too.  If I were to get a modder beater, it'd be a miata and then I'd turbo it.  Hey, see the new IS? Bland (but styling's pretty unimportant to me) but the possibility of the 3.5 with 300 hp, RWD, lower driving position and lexus reliability, gets my eyebrows up. I'm hoping I've finally found something that can at least run with my E46 and not make pine for it."
1256,blueguydotcom,March 2005,"Chris, nice to see you. And no I don't hate the G35. Far from it. Excellent car that isn't quite there.  Regarding seating, lowering the seat would only make me like I'm sitting in a hole and it won't change the fact the car is so damn high.  As for handling - please tell me you'll drive the sport model next time. No one complains in fact the 03 had .9 skidpad and 67 slalom (or 66.5 maybe can't remember) - not exactly lumbering.  Drove a G35 manual 05 which comes with the 18s. AFAIK, the manuals come with the sport suspension automatically. If i'm wrong, please correct me. I believe I'm right though (remember I wanted to buy an 03).  For a car the runs with - and not behind the 3 with ZHP pack - sporty sedan is just plain WRONG. You must have been owned by a G some time ago and have a bad thing for them now. You've been trshing them for over a year while the rest of the automotvie community respects that there is a new benchmark until 06 at least.  Owned how? I don't race people. I was owned by a G35 03 on a test drive - the car lifted up in the rear on a turn. Unsettling to say the least. IMHO, and it's just my opinion (thought other seem to agree), the G35 does not feel as centered or planted on the tarmac as the 330i zhp. Trust me, I wanted to buy an 03 and I desperately wanted to love the 05 G35. But the car's handling and engine just didn't match my expectations for a car in this class. I would love to be in a reliable, fast, competent, japanese sports sedan (not to mention cheap!). But I can't find one!"
1257,blueguydotcom,March 2005,"And the 06 330 swill seem sluggish compared to a 298hp G for sure. And that crappy handling will be just enough to match anything the 3 has..with more legroom.  Uh, I haven't touched the 06 3 so I won't comment on the performance. Though I will say I think the body is ugly, interior bland and the size increase totally unwarranted. The e46 was already too porky (not just in weight but also size), so the e90 will get a coutesy test drive when i replace my car but I have very low expectations for the car. And for BMW in general.  BTW, my 330i with its measely 235 hp, still pulls perfectly and with no fanfare compared to my experience in the 05 G35. The inline 6 in my ZHP may not be my favorite engine but god, it's so smooth it makes me wonder how Subaru and Infiniti even try to compete with those engines. The racket in the highend is insane."
1258,blueguydotcom,March 2005,"Actually, the 06 IS300 (with 252) is on my shortlist. I don't care for the exterior or interior but it may have the traits I desire - great handling, RWD (not a fan or AWD or FWD), low seating position (no matter how low you make the seat in a G the car still rides high), bulletproof reliability and of course a decent price.  I'm anything but brand loyal. The guys at bimmerfest will atest to how I go rounds regarding my 330i and lousy bmw buid quality."
1259,vanhalenabe,March 2005,"** Also posted this on the Infiniti G35 Sedan and FX35 boards**  Hi everyone, this is my first post on this board. To give you a little background, I currently own a Mazda MX-6 and my wife drives an Acura MDX. We have a 14 month baby girl, and it is getting very difficult for me to get her in and out of the car seat, if I have to pick her up.  So, I'm in the market for a new vehicle. I had wanted to stay with a manual transmission -- I don't have traffic in my commute and prefer the fun and feel of a manual transmission.  Anyway, I had narrowed the choice down to the Acura TL 6MT and the Infiniti G35 Sedan with 6MT. After weighing all of the pros and cons, I decided to go with the G35.  Then came the baby car seat test, in which the G35 did not do well. The TL has a latch position in the center, so you can place a rear-facing car seat in the middle and still have room for 2 adults on the outside positions. The G35 does not have this.  I then tried to put the rear-facing car seat behind the drivers seat and the passengers seat. Even with the seats adjusted to my short 5'8"" frame, I found that I had to move the seats too far forward in the G35. The Acura was a tiny bit better in this regard. Since my heart was set on the G35, I was very disappointed in this.  We only have one child now, but hope to have a second one in the future. Meaning that we will probably have both a forward facing toddler seat and a rear facing infant seat in the back. So, I really need a vehicle that can accomodate both.  This brings me to small SUV's. I test drove both the Infiniti FX35 and the Lexus RX330. The Lexus is more practical, but I really prefer the looks and sporty feel of the FX35. I preferred the control and feel of the FX35 sport suspension, with the 20"" wheels, even though the ride was a tad harsher. I live in Dallas, and a RWD car with big wheels will rarely have weather issues to contend with.  I would appreciate any advice, especially with regards to the baby car seats, that would help me make my decision. If there are any parents of young children out there that have faced a similar problem recently, I would appreciate your input.  I have checked out the Infiniti Snugkids website, but it does not say anything about how to put a car seat in the center position.  One thought is to go with the my first choice, the G35. The problems with the infant car seat will only be for the first couple of years. After which the baby will be in a forward-facing car seat that the G35 can easily accomodate. Do I rule out my #1 choice just because of a car seat? Like I said, I was very disappointed when the G35 did not do well with the car seats. I'm beginning to think that all mid-size sedans will have this problem.  Sorry for the long email. Thanks."
1260,lmacmil,March 2005,http://www.popularmechanics.com/automotive/auto_technology/1266931.html?page=1&c=y
1261,qbrozen,March 2005,"that may cover the tires, but what about the wheels they need to be mounted on? i don't have a tire machine in my garage (unfortunately), so they need to be mounted on their own wheels."
1262,dhanley,March 2005,"Yes, winters, steel wheels, hubcaps, $500 or so. Slightly more for alloys. That will last you for a few seasons."
1263,ponytrekker,March 2005,BMWs are much more economical to lease because of: (1) subsidized interest rates; and (2) very high residuals.
1264,ponytrekker,March 2005,">>since my RWD car has the worst traction while NONE of my cars have winter tires, it would still have the worst traction if ALL of my cars had winter tires.  They would essentially be the same. The part of the car that actually touches the road is the TIRE. Winter tires are better in the winter than all seasons or summer tires. You would rather keep 2 cars than spend $500 for tires. Whatever."
1265,shipo,March 2005,"""BMWs are much more economical to lease because of: (1) subsidized interest rates...""  Hmmm, that smacks of an ""Urban Legend"" as it has been repeated so often that most folks believe it without thinking about it. As a counterpoint to that statement, I have leased two BMWs, and in both cases I was quoted a lower monthly lease price from an non BMW-FS leasing outfit. The only reason I lease my second BMW through BMW-FS is because I did the European Delivery thing, and it was just easier to arrange.  As for: ""...and (2) very high residuals."", I'm thinking that that statement is the truth of the matter.  Best Regards, Shipo"
1266,billyperks,March 2005,"The last car I leased was a Mazda Millennia and I enjoyed every bit of it. Personally, I dont want to go down that road again (leasing), I would rather buy a car like the 545. I am getting rid of my TLS next summer, so it depends on how I get for it when I sell it myself. I am just going to play the waitng game to see all the new goodies and upgrades next year."
1267,blueguydotcom,March 2005,I'm pretty happy with my 330i lease. I pay 485 a month on a car with an msrp of 43k. 15k miles/3 years. Shrug.
1268,qbrozen,March 2005,"No need to be a hater.  what kind of car guy doesn't want more than one car in their stable? Heck, I've got 3, not including my wife's.  By the way, my FWD has been absolutely unstoppable in the snow with a good set of all-seasons on it. No need for swapping."
1269,djocks,March 2005,"on you lease of the 330i, what did you put down?"
1270,blueguydotcom,March 2005,I got the MSDs - which I get back at the end. So in terms of cash that is gone forever from my pocket I think it was something like $750 or $1000. But that was titling and the first month's payment too.  When I figured out the dollars I will be out to BMW in May of 06 it was 18k total. 6k a year to play with a car isn't bad.  The residual on the car is 25k (59% residual)...as if it will be worth THAT much in 06. My MF factor was like 0.0007.
1271,jrock65,March 2005,"The following is from a Lexus dealer rep who's been reliable in the past.  In October 2005: '06 IS250 and IS350. The IS250 will have a 6 speed manual tranny OR a automatic V6 engine. The IS250 will have 220 horsepower. The IS350 is a V6 automatic ONLY, but will have guarranteed minimum of 325 horsies. The IS350 will have an available ""Sport Package"" with ""18 wheels. Pricing will remain competitive and the IS will start around $32k-$33k, same as what we have now, but a top of the line will be about $45k.  In March 2006: '07 ES350 will have a 3.5 liter engine with a completely new body style. The only thing they are keeping the same on the ES will be the headlight design.  In April 2006: '07 RX350 will have the same updated engine as the ES  In May 2006: GS450Hybrid will have a V6 hybrid engine, but be faster than the GS430.  In September 2006: LS460Hybrid with 2 body styles, one 6 inches longer, will be added to the regular LS. Both will have 4.6 V8 engines.  In September 2006: '07GS350 will have the updated engine, but same body style.  In September 2006: '07 GS460 will have an updated engine.  In 2-3 more years the IS convertible with retractable hard top is coming for cetain. And other car ideas that are being tossed around also are the ""Super LS"" that will cost more than $100k and the ""SuperCoupe"" that will go 200 MPH.  ------------------  Also, it seems that Toyota is going to use the 3.5 GR V6 in much the same fashion that Nissan uses the 3.5 VQ V6, meaning that a lot Toyotas/Lexuses will have it. No doubt the next Camry, Solara, Sienna, and Highlander will carry the 3.5 GR as well."
1272,shipo,March 2005,"An automatic only IS350? Yuck! Regardless of its other fine attributes, I won't even bother looking at it. :-/  Best Regards, Shipo"
1273,blueguydotcom,March 2005,"They got crucified for not having a manual when the IS300 showed up. There's no way they wouldn't learn their lesson. Sorry but I think the dealer is off. If he's not Lexus just blew its chance at dethroning the 330.  God, what a bummer, have a great engine and the car would be utterly worthless to drive."
1274,billherrmann,March 2005,"I leased a 330xi in Jan ""03 ..$416 per month after putting 5 K down. A great car in most respects. Last month, I leased an ""05 CTS with 3.6 engine...1 K down & $322. per month. Both leases were 36 month term, BMW was 10k miles per-Cad. 12k miles per. CTS cost $7500. LESS to lease for 3 years!!! CTS is much faster than 330 & runs on regular gas. CTS lacks AWD and heated seats [I can do without]. Before you respond to this post and point out that BMW is the Gold Standard of sports sedans {and I am clearly an uninformed moron], please test drive 3.6 CTS. It is smooth & powerful, nimble & quick--a BLAST to drive."
1275,shipo,March 2005,"Errr, sorry, been there, done that, got the tee-shirt. CTS? No thanks. Would I believe that a CTS 3.6 can out drive a 330xi? Yup. Not a fair comparison. Does my butt dyno tell me that a CTS 3.6 will out drive a 330i SP much less a ZHP? Nope. Then there is the whole ""Looks"" thing; to my eye, the CTS has a face that only a mother could love.  330i dethroned? Not yet.  Best Regards, Shipo"
1276,cdnpinhead,March 2005,"Exactly.  Hope this is incorrect information, or if it's not, that Toyota reconsiders."
1277,fedlawman,March 2005,"""They got crucified for not having a manual when the IS300 showed up.""  Yes, but once they finally released the 5-speed, it was a runaway success!"
1278,rsr742002,March 2005,"That would be an unforgivable mistake if they only offer the automatic version... I will definitely ignore the IS w/o a manual. Granny Tranny on a ""sports"" sedan? No, thank you.  If Lexus is serious about going after BMW crowd, they need to offer a full range of manual transmissions on their cars: GS, IS, even SC need to have a manual option...having just ONE model (measly 2.5L) is unacceptable!"
1279,blueguydotcom,March 2005,"please test drive 3.6 CTS. It is smooth & powerful, nimble & quick--a BLAST to drive.  Done it. didn't like it. Didn't find it nimble in any sense. found it flaccid.v my ZHP."
1280,blueguydotcom,March 2005,"tends to be wrong on the invoice/msrp pricing. what people are paying is, i believe, data they assemble. not sure about its veracity. i personally don't care what they're paying...i want to buy the car for the lowest price, not walk in hoping to match what everybody else gets.  if anything lets see the top ten best and top ten worst prices paid!"
1281,fedlawman,March 2005,"""There is already a trend toward the sequential-shift transmissions that BMW calls ""SMG""  In my book, if it doesn't have three pedals, it's an automatic."
1282,dhanley,March 2005,"carsdirect shows 38,423 with luxury sport package.  You could probably get 4000K off that later in the year.  I thought it drove pretty well, but it wasn't in the same league as the 530 with the new sport package (adaptive suspension).  dave"
1283,lmacmil,March 2005,"""I do the same. I price cars there, and waste my time here.""  ha, ha, that's a good one. I'll be glad when I finally pull the trigger on a new car (probably a month off). I'll get about 60 min a day of my life back when I back down to a single forum."
1284,shipo,March 2005,"Hmmm, I tried CarsDirect as well and it showed me $34,566 for the 330i, PP, SP, Heated Seats and Xenons and $38,871 for the CTS Luxury Sport. Yikes, that makes the BMW $4,000 less expensive than a comparable CTS! I assume that this has to do with the fact that the E46 is something of a lame duck, as it were, with the E90 arriving on our shores in less than two months time.  Best Regards, Shipo"
1285,dhanley,March 2005,"The 330 has a $4200 incenive on it now because the new 3-series is almost here. Plus, you can grab it near invoice for the same reason.  Makes me sad when i think what i paid for my CPO 328i awhile ago with fewer features-yuk."
1286,jsyaruss,March 2005,"HA! Wonderful Shipo. Thanks...  I approached the topic of ""Maybe the next car will have a manual trans..."" with my wife this week. Didn't happen. Didn't even come close. (Am I allowed to say D***) Might try again, but your post was perfect...  I'm with you, brother. S"
1287,johnny420,March 2005,"Blueguy,  Would you purchase that 330i again? I'm currently a TSX owner (which I love, BTW), but that darn bimmer intrigues me to no end.  In the Seattle area, the BMW is absolutely ubiquitous, but I still want to drive and maybe buy one someday.  What are your thoughts regarding the TSX V. 330i? I thought I'd read some of your posts indicating you'd driven the TSX.  Thanks for any input."
1288,jchan2,March 2005,"In some cases I think I would use Edmunds but when I bought my Infiniti (and yes, it has an automatic) I took the pricing information from the boards here and walked into the dealer and tried to shoot for the lowest possible price.  I also brought two ads from dealers in Boston and Cincinnati and told the dealers that other dealers were willing to sell the car to me for less.  And this strategy worked because I bought an I35 and many dealers are looking to get rid of their leftover cars from last year."
1289,johnny420,March 2005,"""Best regards< Bill H""  LOL!  Best Regards, Johnny"
1290,blueguydotcom,March 2005,"Johnny,  I love the TSX. I can't quite explain its appeal. I love the clean style, the nice, simple, legant cockpit but more importantly, I go ga-ga for the silky smoth 6 speed in those things. Like buddah. I've driven them a few times and I always dug the eager pull of the engine, the delight of keeping the car over 4k rpm with plenty of room to play.  The 330i is a pretty different beast. The driving dynamics matched with the power won me over. If you feel like your TSX just isn't there for power, and if you'd like that special punch in corners of RWD then you'll enjoy the 330i. Really, the only way you'll know, go drive one. And let the salesguy know it's all about the handling. In other words don't let him take you on some anemic on surface street, then the freeway and back test drive. You want twists, turns, hills, switchbacks and plenty of opp to flog the car as god intended.  Yes, BMWs on the west coast are everywhere! you can't swing a dead cat in any west coast major city without hitting a bimmer. Unfortunate but true - one my reason the TSX attracts me.  If I hadn't run across a 330i with manual to drive in 03, I'm sure I woulda ended up in a TSX. I woulda been fairly happy too. Just yearned for more power and AWD/RWD.  Knowing what I know now about my 330i would I lease again...hmmm. Most likely yes but I gotta say I'd dwell on it way more. I would probably still lease. I really wish I could own a BMW, but I simply don't think they're good cars. All this talk about the 08 M3 4 door has me excited and conflicted. You just can't lease an M3, it's a car you buy and keep. And the idea of buying a BMW troubles me. The idea of owning a lexus, infiniti, mazda, acura doesn't raise my eyebrow in the least."
1291,gordonwd,March 2005,"Autoweek had a preview article this week on the new IS350, and compared it to the '06 330i (E90). They thought that the IS350's styling beat that of the E90 (they said it ""pops"" while the 330i merely ""pings"", or something like that). They also estimated a 0-60 time beating the 330i by a full second since the IS350 will have 300hp under the hood.  In summary, they really liked this car, and it will be interesting when they get around to actually testing and comparing both in U.S. spec form."
1292,blueguydotcom,March 2005,"Didn't even test the car, so the article is pretty worthless. We find out this week if Lexus is going to make the same mistake twice - releasing a so-called sports sedan without a manual (in the 350) at launch. No manual = lexus fumbles again."
1293,fedlawman,March 2005,"Or do all of the latest ""sport sedans""appear bulbous and heavy?  The TL, G35, and CTS weigh between 3500 and 3600 lbs. The TL has a 108"" wheelbase. The G35 at 112"" and CTS at 113.5"" have some minivans beat in wheelbase.  Imagine how tough a competitor the Pontiac Aztek would be with the Buick Rendezvous 3.6L VVT engine. 108"" wheelbase, 3770 lbs. curb weight, 245 HP, and it sleeps 4!  I don't know how much they weigh, but I hope the E90 and IS250/350 come in around 3200 lbs.  I guess I'll keep the TSX and hope someone eventually gets it right (how about a 2800 lb BMW 230i?)."
1294,blueguydotcom,March 2005,Roundel this month has the e90 330i without extras at over 3400 lbs.
1295,jrock65,March 2005,The european IS250 weighs over 3400 pounds. The IS350 might be close to 3500 pounds.
1296,designman,March 2005,"&#147;Is it me.. Or do all of the latest ""sport sedans""appear bulbous and heavy?&#148;  Indeed, they all have porcine characteristics. I saw an E23 7-series (first generation) this morning near a current 530. The 7 actually looked smaller and was certainly lower. Maybe the Porsche Panamera will bring everyone back to their senses. You can bet it will be low slung the way a sport sedan should be. However, if the engine goes up front it may run into a problem…  I think one of the problems is the new pedestrian safety regs which, among other things, require a certain amount of clearance between the hood and the engine. When the hood height gets raised, so does the rest of the car which may account for the slab-sidedness we&#146;ve been seeing. It certainly appears as if the E90 and new IS conform to these regs, in addition to the other new generations."
1297,lidia,March 2005,"On the topic of pricings, I'd lilke to run a quote I got by you guys- It's on a pewter metallic 2005 C320, with the entertainment pkg, heated front seats, 6 disc cd changer, and the sunroof pkg. It's a demo with 1200 miles. They're willing to sell it to me for 28,000, and I was wondering if I should try to go lower. By the way, it's is Ohio. Thanks"
1298,jrock65,March 2005,"IS350: 300+ hp, 275+ torque, 6 speed auto  IS250: 200+ hp, 180+ torque RWD manual: ~$30,000 base RWD auto: ~$31,500 base AWD  Sales target: 45,000 per year  The IS is based on a modified version of the GS platform.  http://pressroom.toyota.com/photo_library/display_release.html?id=20050323c"
1299,shipo,March 2005,"Well, it seems that Lexus has gone and done it again, no manual transmission in the IS350. What's up with that? You'd think that they would have learned that lesson the last time around. Do they actually think that the only folks who buy cars with manual transmissions do so because they cannot afford an automatic, hence offering it only on the cheaper/smaller engined model? Yikes! Well, I guess that BMW is still safe from this potential ""3-Series Beater"" since this is a car that has a loud bark, just no bite.  Best Regards, Shipo"
1300,merc1,April 2005,I'm off to see the new 3-Series at Soldier Field (Chicago) Tuesday. Should be fun.  M
1301,buddhabman,April 2005,designman - In terms of handling the only car that can be considered to be more poised is the BMW 330i. Driving the old gen Legacy on twisty mountain roads was pure fun. The new Legacy GT with power can hold it's own with any of the cars in this segment. It's known for having one of the most stable driving feel on bumpy roads.
1302,designman,April 2005,"Bumpy roads and sport suspensions are like oil and water, so if a Legacy GT is good in that environment it is testament to its soft suspension&#151;ability to absorb shock. I will agree to disagree with you on this and I find that the reviews overrated it considerably."
